Date,Temp
2019-06-22 02:15:07,25.57
2019-06-22 02:15:08,25.57
2019-06-22 02:15:09,25.41
2019-06-22 02:15:10,25.41
2019-06-22 02:15:11,25.57
2019-06-22 02:15:12,25.41
2019-06-22 02:15:13,25.57
2019-06-22 02:15:14,25.41
2019-06-22 02:15:15,25.57
2019-06-22 02:15:16,25.57
2019-06-22 02:15:17,25.41
2019-06-22 02:15:18,25.41
2019-06-22 02:15:19,25.57
2019-06-22 02:15:20,25.57
2019-06-22 02:15:21,25.41
2019-06-22 02:15:22,25.41
2019-06-22 02:27:37,17.99
2019-06-22 02:27:38,18.32
2019-06-22 02:27:39,18.32
2019-06-22 02:27:40,18.16
2019-06-22 02:27:41,18.16
2019-06-22 02:27:42,18.16
2019-06-22 02:27:43,17.99
2019-06-22 02:27:44,17.67
2019-06-22 02:27:45,17.51
2019-06-22 02:27:46,17.51
2019-06-22 02:27:47,17.35
2019-06-22 02:27:48,17.35
2019-06-22 02:27:49,17.19
2019-06-22 02:27:50,17.03
2019-06-22 02:27:51,16.87
2019-06-22 02:27:52,16.71
2019-06-22 02:27:54,16.54
2019-06-22 02:27:55,16.38
2019-06-22 02:27:56,16.22
2019-06-22 02:27:57,16.06
2019-06-22 02:27:58,16.06
2019-06-22 02:27:59,15.90
2019-06-22 02:28:00,15.74
2019-06-22 02:28:01,15.58
2019-06-22 02:28:02,15.42
2019-06-22 02:28:03,15.26
2019-06-22 02:28:04,15.26
2019-06-22 02:28:05,15.09
2019-06-22 02:28:06,14.93
2019-06-22 02:28:07,14.77
2019-06-22 02:28:08,14.77
2019-06-22 02:28:09,14.61
2019-06-22 02:28:10,14.45
2019-06-22 02:28:11,14.45
2019-06-22 02:28:12,14.45
2019-06-22 02:28:13,14.29
2019-06-22 02:28:14,14.13
2019-06-22 02:28:15,14.29
2019-06-22 02:28:16,14.13
2019-06-22 02:28:17,14.13
2019-06-22 02:28:18,13.97
2019-06-22 02:28:19,13.97
2019-06-22 02:28:20,13.81
2019-06-22 02:28:21,13.81
2019-06-22 02:28:22,13.64
2019-06-22 02:28:23,13.64
2019-06-22 02:28:24,13.64
2019-06-22 02:28:25,13.48
2019-06-22 02:28:26,13.32
2019-06-22 02:28:27,13.16
2019-06-22 02:28:29,13.00
2019-06-22 02:28:30,13.00
2019-06-22 02:28:31,13.00
2019-06-22 02:28:32,12.84
2019-06-22 02:28:33,12.84
2019-06-22 02:28:34,12.68
2019-06-22 02:28:35,12.52
2019-06-22 02:28:36,12.35
2019-06-22 02:28:37,12.35
2019-06-22 02:28:38,12.35
2019-06-22 02:28:39,12.19
2019-06-22 02:28:40,12.03
2019-06-22 02:28:41,12.03
2019-06-22 02:28:42,12.03
2019-06-22 02:28:43,11.87
2019-06-22 02:28:44,11.71
2019-06-22 02:28:45,11.55
2019-06-22 02:28:46,11.55
2019-06-22 02:28:47,11.55
2019-06-22 02:28:48,11.39
2019-06-22 02:28:49,11.39
2019-06-22 02:28:50,11.39
2019-06-22 02:28:51,11.39
2019-06-22 02:28:52,11.23
2019-06-22 02:28:53,11.23
2019-06-22 02:28:54,11.07
2019-06-22 02:28:55,11.07
2019-06-22 02:28:56,11.07
2019-06-22 02:28:57,10.90
2019-06-22 02:28:58,11.07
2019-06-22 02:28:59,10.90
2019-06-22 02:29:00,10.74
2019-06-22 02:29:01,10.90
2019-06-22 02:29:03,10.74
2019-06-22 02:29:04,10.74
2019-06-22 02:29:05,10.58
2019-06-22 02:29:06,10.58
2019-06-22 02:29:07,10.58
2019-06-22 02:29:08,10.42
2019-06-22 02:29:09,10.42
2019-06-22 02:29:10,10.42
2019-06-22 02:29:11,10.42
2019-06-22 02:29:12,10.42
2019-06-22 02:29:13,10.26
2019-06-22 02:29:14,10.26
2019-06-22 02:29:15,10.26
2019-06-22 02:29:16,10.10
2019-06-22 02:29:17,10.10
2019-06-22 02:29:18,9.94
2019-06-22 02:29:19,9.94
2019-06-22 02:29:20,9.78
2019-06-22 02:29:21,9.78
2019-06-22 02:29:22,9.78
2019-06-22 02:29:23,9.62
2019-06-22 02:29:24,9.62
2019-06-22 02:29:25,9.45
2019-06-22 02:29:26,9.45
2019-06-22 02:29:27,9.45
2019-06-22 02:29:28,9.45
2019-06-22 02:29:29,9.29
2019-06-22 02:29:30,9.29
2019-06-22 02:29:31,9.13
2019-06-22 02:29:32,9.13
2019-06-22 02:29:33,9.13
2019-06-22 02:29:34,9.13
2019-06-22 02:29:36,9.13
2019-06-22 02:29:37,8.97
2019-06-22 02:29:38,8.97
2019-06-22 02:29:39,8.97
2019-06-22 02:29:40,8.81
2019-06-22 02:29:41,8.81
2019-06-22 02:29:42,8.81
2019-06-22 02:29:43,8.81
2019-06-22 02:29:44,10.42
2019-06-22 02:29:45,10.42
2019-06-22 02:29:46,10.26
2019-06-22 02:29:47,10.26
2019-06-22 02:29:48,10.26
2019-06-22 02:29:49,10.10
2019-06-22 02:29:50,9.94
2019-06-22 02:29:51,9.94
2019-06-22 02:29:52,9.94
2019-06-22 02:29:53,9.94
2019-06-22 02:29:54,9.78
2019-06-22 02:29:55,9.78
2019-06-22 02:29:56,9.78
2019-06-22 02:29:57,9.62
2019-06-22 02:29:58,9.62
2019-06-22 02:29:59,9.45
2019-06-22 02:30:00,9.62
2019-06-22 02:30:01,9.45
2019-06-22 02:30:02,9.45
2019-06-22 02:30:03,9.45
2019-06-22 02:30:04,9.29
2019-06-22 02:30:05,9.29
2019-06-22 02:30:06,9.13
2019-06-22 02:30:07,9.13
2019-06-22 02:30:09,9.13
2019-06-22 02:30:10,9.13
2019-06-22 02:30:11,9.13
2019-06-22 02:30:12,8.97
2019-06-22 02:30:13,8.97
2019-06-22 02:30:14,8.97
2019-06-22 02:30:15,8.81
2019-06-22 02:30:16,8.81
2019-06-22 02:30:17,8.81
2019-06-22 02:30:18,8.65
2019-06-22 02:30:19,8.81
2019-06-22 02:30:20,8.81
2019-06-22 02:30:21,8.81
2019-06-22 02:30:22,8.81
2019-06-22 02:30:23,8.81
2019-06-22 02:30:24,8.81
2019-06-22 02:30:25,8.49
2019-06-22 02:30:26,8.65
2019-06-22 02:30:27,8.49
2019-06-22 02:30:28,8.49
2019-06-22 02:30:29,8.49
2019-06-22 02:30:30,8.49
2019-06-22 02:30:31,8.49
2019-06-22 02:30:32,8.33
2019-06-22 02:30:33,8.33
2019-06-22 02:30:34,8.33
2019-06-22 02:30:35,8.33
2019-06-22 02:30:36,8.33
2019-06-22 02:30:37,8.17
2019-06-22 02:30:38,8.00
2019-06-22 02:30:39,8.00
2019-06-22 02:30:41,8.00
2019-06-22 02:30:42,8.00
2019-06-22 02:30:43,8.00
2019-06-22 02:30:44,8.00
2019-06-22 02:30:45,8.00
2019-06-22 02:30:46,7.84
2019-06-22 02:30:47,8.00
2019-06-22 02:30:48,7.84
2019-06-22 02:30:49,7.84
2019-06-22 02:30:50,7.68
2019-06-22 02:30:51,7.68
2019-06-22 02:30:52,7.68
2019-06-22 02:30:53,7.52
2019-06-22 02:30:54,7.52
2019-06-22 02:30:55,7.52
2019-06-22 02:30:56,7.52
2019-06-22 02:30:57,7.52
2019-06-22 02:30:58,7.36
2019-06-22 02:30:59,7.52
2019-06-22 02:31:00,7.52
2019-06-22 02:31:01,7.36
2019-06-22 02:31:02,7.36
2019-06-22 02:31:03,7.36
2019-06-22 02:31:04,7.36
2019-06-22 02:31:05,7.20
2019-06-22 02:31:06,7.20
2019-06-22 02:31:07,7.20
2019-06-22 02:31:08,7.20
2019-06-22 02:31:09,6.88
2019-06-22 02:31:10,6.88
2019-06-22 02:31:11,7.04
2019-06-22 02:31:13,6.88
2019-06-22 02:31:14,6.88
2019-06-22 02:31:15,6.88
2019-06-22 02:31:16,6.88
2019-06-22 02:31:17,6.88
2019-06-22 02:31:18,6.88
2019-06-22 02:31:19,6.88
2019-06-22 02:31:20,6.72
2019-06-22 02:31:21,6.72
2019-06-22 02:31:22,6.55
2019-06-22 02:31:23,6.72
2019-06-22 02:31:24,6.55
2019-06-22 02:31:25,6.55
2019-06-22 02:31:26,6.55
2019-06-22 02:31:27,6.55
2019-06-22 02:31:28,6.55
2019-06-22 02:31:29,6.39
2019-06-22 02:31:30,6.39
2019-06-22 02:31:31,6.39
2019-06-22 02:31:32,6.55
2019-06-22 02:31:33,6.39
2019-06-22 02:31:34,6.39
2019-06-22 02:31:35,6.39
2019-06-22 02:31:36,6.39
2019-06-22 02:31:37,6.23
2019-06-22 02:31:38,6.39
2019-06-22 02:31:39,6.39
2019-06-22 02:31:40,6.23
2019-06-22 02:31:41,6.23
2019-06-22 02:31:42,6.23
2019-06-22 02:31:44,6.23
2019-06-22 02:31:45,6.23
2019-06-22 02:31:46,6.07
2019-06-22 02:31:47,6.23
2019-06-22 02:31:48,6.07
2019-06-22 02:31:49,6.07
2019-06-22 02:31:50,6.07
2019-06-22 02:31:51,5.91
2019-06-22 02:31:52,5.91
2019-06-22 02:31:53,5.91
2019-06-22 02:31:54,6.07
2019-06-22 02:31:55,5.91
2019-06-22 02:31:56,5.91
2019-06-22 02:31:57,5.75
2019-06-22 02:31:58,5.91
2019-06-22 02:31:59,5.75
2019-06-22 02:32:00,5.75
2019-06-22 02:32:01,5.59
2019-06-22 02:32:02,5.59
2019-06-22 02:32:03,5.59
2019-06-22 02:32:04,5.59
2019-06-22 02:32:05,5.43
2019-06-22 02:32:06,5.43
2019-06-22 02:32:07,5.43
2019-06-22 02:32:08,5.43
2019-06-22 02:32:09,5.43
2019-06-22 02:32:10,5.26
2019-06-22 02:32:11,5.26
2019-06-22 02:32:12,5.26
2019-06-22 02:32:13,5.26
2019-06-22 02:32:15,5.26
2019-06-22 02:32:16,5.10
2019-06-22 02:32:17,5.10
2019-06-22 02:32:18,4.62
2019-06-22 02:32:19,4.62
2019-06-22 02:32:20,4.62
2019-06-22 02:32:21,4.46
2019-06-22 02:32:22,4.62
2019-06-22 02:32:23,4.46
2019-06-22 02:32:24,4.46
2019-06-22 02:32:25,4.46
2019-06-22 02:32:26,4.46
2019-06-22 02:32:27,4.46
2019-06-22 02:32:28,4.30
2019-06-22 02:32:29,4.46
2019-06-22 02:32:30,4.30
2019-06-22 02:32:31,4.30
2019-06-22 02:32:32,4.30
2019-06-22 02:32:33,4.30
2019-06-22 02:32:34,4.30
2019-06-22 02:32:35,4.30
2019-06-22 02:32:36,4.30
2019-06-22 02:32:37,4.14
2019-06-22 02:32:38,4.14
2019-06-22 02:32:39,4.14
2019-06-22 02:32:40,3.98
2019-06-22 02:32:41,4.14
2019-06-22 02:32:42,4.14
2019-06-22 02:32:43,3.98
2019-06-22 02:32:44,3.98
2019-06-22 02:32:46,4.14
2019-06-22 02:32:47,4.14
2019-06-22 02:32:48,3.98
2019-06-22 02:32:49,3.98
2019-06-22 02:32:50,3.98
2019-06-22 02:32:51,3.81
2019-06-22 02:32:52,3.98
2019-06-22 02:32:53,3.98
2019-06-22 02:32:54,3.81
2019-06-22 02:32:55,3.81
2019-06-22 02:32:56,3.81
2019-06-22 02:32:57,3.81
2019-06-22 02:32:58,3.81
2019-06-22 02:32:59,3.81
2019-06-22 02:33:00,3.81
2019-06-22 02:33:01,3.65
2019-06-22 02:33:02,3.81
2019-06-22 02:33:03,3.65
2019-06-22 02:33:04,3.65
2019-06-22 02:33:05,3.65
2019-06-22 02:33:06,3.65
2019-06-22 02:33:07,3.65
2019-06-22 02:33:08,3.65
2019-06-22 02:33:09,3.65
2019-06-22 02:33:10,3.65
2019-06-22 02:33:11,3.65
2019-06-22 02:33:12,3.65
2019-06-22 02:33:13,3.49
2019-06-22 02:33:14,3.49
2019-06-22 02:33:15,3.49
2019-06-22 02:33:17,3.49
2019-06-22 02:33:18,3.49
2019-06-22 02:33:19,3.49
2019-06-22 02:33:20,3.33
2019-06-22 02:33:21,3.33
2019-06-22 02:33:22,3.33
2019-06-22 02:33:23,3.33
2019-06-22 02:33:24,3.33
2019-06-22 02:33:25,3.17
2019-06-22 02:33:26,3.33
2019-06-22 02:33:27,3.33
2019-06-22 02:33:28,3.17
2019-06-22 02:33:29,3.17
2019-06-22 02:33:30,3.17
2019-06-22 02:33:31,3.17
2019-06-22 02:33:32,3.17
2019-06-22 02:33:33,3.17
2019-06-22 02:33:34,3.01
2019-06-22 02:33:35,3.17
2019-06-22 02:33:36,3.01
2019-06-22 02:33:37,3.01
2019-06-22 02:33:38,3.01
2019-06-22 02:33:39,3.01
2019-06-22 02:33:40,3.01
2019-06-22 02:33:41,3.01
2019-06-22 02:33:42,3.01
2019-06-22 02:33:44,2.85
2019-06-22 02:33:45,2.85
2019-06-22 02:33:46,3.01
2019-06-22 02:33:47,2.85
2019-06-22 02:33:48,2.85
2019-06-22 02:33:49,2.69
2019-06-22 02:33:50,2.85
2019-06-22 02:33:51,2.85
2019-06-22 02:33:52,2.85
2019-06-22 02:33:53,2.69
2019-06-22 02:33:54,2.69
2019-06-22 02:33:55,2.69
2019-06-22 02:33:56,2.69
2019-06-22 02:33:57,2.53
2019-06-22 02:33:58,2.53
2019-06-22 02:33:59,2.53
2019-06-22 02:34:00,2.53
2019-06-22 02:34:01,2.53
2019-06-22 02:34:02,2.36
2019-06-22 02:34:03,2.53
2019-06-22 02:34:04,2.36
2019-06-22 02:34:05,2.53
2019-06-22 02:34:06,2.53
2019-06-22 02:34:07,2.53
2019-06-22 02:34:08,2.36
2019-06-22 02:34:10,2.53
2019-06-22 02:34:11,2.53
2019-06-22 02:34:12,2.36
2019-06-22 02:34:13,2.53
2019-06-22 02:34:14,2.36
2019-06-22 02:34:15,2.36
2019-06-22 02:34:16,2.36
2019-06-22 02:34:17,2.36
2019-06-22 02:34:18,2.36
2019-06-22 02:34:19,2.36
2019-06-22 02:34:20,2.20
2019-06-22 02:34:21,2.20
2019-06-22 02:34:22,2.20
2019-06-22 02:34:23,2.36
2019-06-22 02:34:24,2.36
2019-06-22 02:34:25,2.36
2019-06-22 02:34:26,2.20
2019-06-22 02:34:27,2.36
2019-06-22 02:34:28,2.20
2019-06-22 02:34:29,2.20
2019-06-22 02:34:30,2.20
2019-06-22 02:34:31,2.20
2019-06-22 02:34:32,2.20
2019-06-22 02:34:33,2.20
