Date,Temp_A,Temp_B
2019-06-25 21:15:32,8.492,4.303
2019-06-25 21:15:38,8.492,4.303
2019-06-25 21:15:44,8.492,4.141
2019-06-25 21:15:50,8.331,4.303
2019-06-25 21:15:56,8.331,4.141
2019-06-25 21:16:03,8.331,3.658
2019-06-25 21:16:09,8.170,3.336
2019-06-25 21:16:15,8.170,3.013
2019-06-25 21:16:21,8.009,3.013
2019-06-25 21:16:27,8.009,3.013
2019-06-25 21:16:33,8.009,2.852
2019-06-25 21:16:39,8.009,2.691
2019-06-25 21:16:45,7.848,2.691
2019-06-25 21:16:51,7.848,2.691
2019-06-25 21:16:57,7.848,2.691
2019-06-25 21:17:03,7.686,2.691
2019-06-25 21:17:09,7.848,2.691
2019-06-25 21:17:15,7.686,2.852
2019-06-25 21:17:21,7.525,2.852
2019-06-25 21:17:27,7.686,2.852
2019-06-25 21:17:33,7.686,2.691
2019-06-25 21:17:39,7.525,2.852
2019-06-25 21:17:46,7.525,2.852
2019-06-25 21:17:52,7.364,2.852
2019-06-25 21:17:58,7.525,3.013
2019-06-25 21:18:04,7.525,3.013
2019-06-25 21:18:10,7.525,2.852
2019-06-25 21:18:16,7.525,3.013
2019-06-25 21:18:22,7.525,3.013
2019-06-25 21:18:28,7.364,2.852
2019-06-25 21:18:34,7.364,3.013
2019-06-25 21:18:40,7.364,3.013
2019-06-25 21:18:46,7.364,3.175
2019-06-25 21:18:52,7.203,3.175
2019-06-25 21:18:58,7.203,3.175
2019-06-25 21:19:04,7.203,3.175
2019-06-25 21:19:10,7.203,3.175
2019-06-25 21:19:16,7.203,3.175
2019-06-25 21:19:23,7.203,3.175
2019-06-25 21:19:29,7.364,3.336
2019-06-25 21:19:35,7.203,3.336
2019-06-25 21:19:41,7.203,3.336
2019-06-25 21:19:47,7.203,3.336
2019-06-25 21:19:53,7.203,3.336
2019-06-25 21:19:59,7.203,3.336
2019-06-25 21:20:05,7.203,3.336
2019-06-25 21:20:11,7.203,3.497
2019-06-25 21:20:17,7.203,3.336
2019-06-25 21:20:23,7.042,3.336
2019-06-25 21:20:29,7.042,3.336
2019-06-25 21:20:35,7.203,3.336
2019-06-25 21:20:41,7.203,3.336
